Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	Control_met	Hypoxia_met
Chr20:28956648-28956648	20	28956648	28956648		null					Not found	0	0.0	0.0
Chr20:28956671-28956671	20	28956671	28956671		null					Not found	0	0.0	0.0
Chr20:28956672-28956672	20	28956672	28956672		null					Not found	0	0.0	8.333333015441895
Chr20:28957711-28957711	20	28957711	28957711		null					Not found	0	100.0	100.0
Chr20:28958806-28958806	20	28958806	28958806		null					Not found	0	100.0	100.0
Chr20:28958852-28958852	20	28958852	28958852		null					Not found	0	100.0	100.0
Chr20:28959403-28959403	20	28959403	28959403		null					Not found	0	0.0	0.0
Chr20:28959410-28959410	20	28959410	28959410		null					Not found	0	0.0	0.0
Chr20:28959564-28959564	20	28959564	28959564		null					Not found	0	0.0	0.0
Chr20:28959601-28959601	20	28959601	28959601		null					Not found	0	0.0	0.0
Chr20:28959640-28959640	20	28959640	28959640		null					Not found	0	0.0	0.0
Chr20:28959641-28959641	20	28959641	28959641		null					Not found	0	0.0	0.0
Chr20:28959647-28959647	20	28959647	28959647		null					Not found	0	0.0	0.0
Chr20:28959672-28959672	20	28959672	28959672		null					Not found	0	0.0	0.0
Chr20:28959679-28959679	20	28959679	28959679		null					Not found	0	0.0	0.0
Chr20:28959682-28959682	20	28959682	28959682		null					Not found	0	0.0	0.0
Chr20:28959689-28959689	20	28959689	28959689		null					Not found	0	0.0	0.0
Chr20:28959693-28959693	20	28959693	28959693		null					Not found	0	0.0	0.0
Chr20:28959705-28959705	20	28959705	28959705		null					Not found	0	0.0	0.0
Chr20:28959719-28959719	20	28959719	28959719		null					Not found	0	0.0	0.0
Chr20:28959747-28959747	20	28959747	28959747		null					Not found	0	0.0	0.0
Chr20:28959982-28959982	20	28959982	28959982		null					Not found	0	0.0	0.0
Chr20:28959984-28959984	20	28959984	28959984		null					Not found	0	0.0	0.0
